seed,prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
1234,ANS,rand,2,8,12,0,96.31,90.67,31,37,3,4,88.57,91.18,61,4.97,273.33,303.06
1234,ANS,rand,3,8,12,0,89.43,84.06,24,34,7,4,85.71,77.42,59,5.10,49.05,300.94
1234,ANS,rand,4,8,12,0,93.83,89.47,32,36,4,4,88.89,88.89,64,4.76,123.29,304.93
1234,ANS,rand,5,8,12,0,97.86,87.67,30,34,7,2,93.75,81.08,65,4.66,233.21,302.77
1234,Ext,pw,1,8,12,0,89.54,80.00,34,26,12,3,91.89,73.91,51,5.89,34.12,300.15
1234,Ext,pw,2,8,12,0,88.93,73.12,47,21,25,0,100.00,65.28,50,6.24,299.83,311.90
1234,Ext,pw,3,8,12,0,91.59,82.28,16,49,7,7,69.57,69.57,50,6.37,80.81,318.74
1234,Ext,pw,4,8,12,0,77.95,88.46,27,42,5,4,87.10,84.38,54,5.61,33.83,303.12
1234,Ext,pw,5,8,12,0,87.69,68.00,38,13,6,18,67.86,86.36,55,5.51,49.15,303.20
1234,Ext,rand,1,8,12,0,96.00,93.33,33,37,3,2,94.29,91.67,50,6.37,260.72,318.71
1234,Ext,rand,2,8,12,0,92.62,90.67,32,36,4,3,91.43,88.89,50,6.52,89.35,325.85
1234,Ext,rand,3,8,12,0,92.15,85.51,23,36,5,5,82.14,82.14,50,6.28,73.80,313.88
1234,Ext,rand,4,8,12,0,86.73,85.53,29,36,4,7,80.56,87.88,50,6.10,41.79,305.22
1234,Ext,rand,5,8,12,0,91.74,89.04,29,36,5,3,90.62,85.29,51,5.88,153.99,300.05
1234,Low,pw,1,8,12,0,78.46,64.00,16,32,6,21,43.24,72.73,52,5.87,28.32,305.49
1234,Low,pw,2,8,12,0,92.83,91.40,47,38,8,0,100.00,85.45,50,6.09,233.46,304.72
1234,Low,pw,3,8,12,0,88.16,74.68,3,56,0,20,13.04,100.00,50,6.48,68.00,323.82
1234,Low,pw,4,8,12,0,78.26,82.05,23,41,6,8,74.19,79.31,52,5.82,28.59,302.39
1234,Low,pw,5,8,12,0,92.00,76.00,45,12,7,11,80.36,86.54,54,5.61,117.85,303.17
