prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
APS,rand,3,8,12,0,90.63,86.96,23,37,4,5,82.14,85.19,65,4.67,181.24,303.50
APS,rand,4,8,12,0,96.30,78.95,31,29,11,5,86.11,73.81,65,4.66,284.06,302.88
APS,rand,5,8,12,0,87.46,87.67,28,36,5,4,87.50,84.85,64,4.69,195.66,300.18
ANS,pw,1,8,12,0,93.54,77.33,23,35,3,14,62.16,88.46,66,4.52,116.16,298.12
ANS,pw,2,8,12,0,92.83,90.32,47,37,9,0,100.00,83.93,65,4.47,138.31,290.61
ANS,pw,3,8,12,0,87.23,79.75,10,53,3,13,43.48,76.92,63,4.80,37.45,302.23
ANS,pw,4,8,12,0,98.45,67.95,16,37,10,15,51.61,61.54,69,4.38,289.28,302.41
ANS,pw,5,8,12,0,94.46,70.67,50,3,16,6,89.29,75.76,68,4.42,112.32,300.26
ANS,rand,1,8,12,0,96.92,92.00,33,36,4,2,94.29,89.19,62,4.85,192.66,300.84
ANS,rand,2,8,12,0,93.54,90.67,31,37,3,4,88.57,91.18,62,4.92,153.30,305.03
ANS,rand,3,8,12,0,98.19,84.06,25,33,8,3,89.29,75.76,65,4.66,274.56,302.63
ANS,rand,4,8,12,0,97.53,86.84,32,34,6,4,88.89,84.21,66,4.59,257.01,302.90
ANS,rand,5,8,12,0,95.41,86.30,29,34,7,3,90.62,80.56,66,4.58,145.75,302.36
Ext,pw,1,8,12,0,92.92,80.00,33,27,11,4,89.19,75.00,52,5.84,114.62,303.63
Ext,pw,3,8,12,0,93.46,79.75,10,53,3,13,43.48,76.92,50,6.15,158.21,307.61
Ext,pw,4,8,12,0,91.93,78.21,21,40,7,10,67.74,75.00,54,5.61,64.57,303.12
Ext,pw,5,8,12,0,93.54,72.00,43,11,8,13,76.79,84.31,53,5.70,181.44,302.06
Ext,rand,1,8,12,0,95.69,89.33,32,35,5,3,91.43,86.49,50,6.14,306.76,306.76
Ext,rand,2,8,12,0,94.15,88.00,28,38,2,7,80.00,93.33,50,6.08,248.31,303.92
Ext,rand,3,8,12,0,95.17,84.06,22,36,5,6,78.57,81.48,51,5.89,223.55,300.41
Ext,rand,4,8,12,0,96.30,86.84,33,33,7,3,91.67,82.50,51,5.96,257.05,303.94
Ext,rand,5,8,12,0,94.19,87.67,28,36,5,4,87.50,84.85,52,5.86,182.00,304.50
Low,pw,1,8,12,0,91.38,73.33,34,21,17,3,91.89,66.67,53,5.72,101.23,303.24
Low,pw,2,8,12,0,84.04,73.12,47,21,25,0,100.00,65.28,52,5.86,217.91,304.76
Low,pw,3,8,12,0,92.83,79.75,7,56,0,16,30.43,100.00,50,6.17,258.77,308.52
Low,pw,4,8,12,0,81.99,73.08,13,44,3,18,41.94,81.25,53,5.71,33.03,302.41
Low,pw,5,8,12,0,94.77,74.67,43,13,6,13,76.79,87.76,56,5.44,227.52,304.65
Low,rand,1,8,12,0,95.08,92.00,32,37,3,3,91.43,91.43,50,6.07,265.47,303.37
Low,rand,2,8,12,0,94.46,90.67,31,37,3,4,88.57,91.18,50,6.08,272.61,304.11
Low,rand,3,8,12,0,94.56,85.51,24,35,6,4,85.71,80.00,52,5.87,270.10,305.20
Low,rand,4,8,12,0,93.21,85.53,34,31,9,2,94.44,79.07,52,5.82,184.58,302.67
Low,rand,5,8,12,0,89.91,84.93,26,36,5,6,81.25,83.87,51,5.90,270.82,301.08
Raw,pw,1,8,12,0,96.92,74.67,32,24,14,5,86.49,69.57,66,4.55,161.84,300.07
Raw,pw,2,8,12,0,93.16,87.10,47,34,12,0,100.00,79.66,64,4.70,175.54,300.80
Raw,pw,3,8,12,0,94.39,79.75,13,50,6,10,56.52,68.42,61,4.97,232.75,303.27
Raw,pw,4,8,12,0,61.49,60.26,0,47,0,31,0.00,0.00,61,4.49,8.12,273.61
Raw,pw,5,8,12,0,90.15,77.33,52,6,13,4,92.86,80.00,65,4.67,40.52,303.28
Raw,rand,1,8,12,0,95.08,89.33,33,34,6,2,94.29,84.62,61,4.97,187.30,303.01
Raw,rand,2,8,12,0,94.46,92.00,32,37,3,3,91.43,91.43,61,4.94,143.33,301.43
Raw,rand,3,8,12,0,90.94,88.41,24,37,4,4,85.71,85.71,63,4.81,51.93,302.83
